size,k,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate,ave_incomp_nodes,ave_steps
6,5,1.0,0.8,0.6666666666666666,1.2,0.0,0.0,0.0,1003.8
7,5,1.0,0.6666666666666666,0.5,1.3333333333333333,0.0,0.0,0.0,1803.26
8,5,1.0,0.5714285714285714,0.5,1.4285714285714286,0.0,0.0,0.0,1953.07
9,5,1.0,0.5,0.5,1.5,0.0,0.0,0.0,1454.8
10,5,1.0,0.4444444444444444,0.5,1.6666666666666667,0.0,0.0,0.0,1006.49
11,5,1.0,0.4,0.5,1.8,0.0,0.0,0.0,1855.36
12,5,1.0,0.36363636363636365,0.5,1.9090909090909092,0.0,0.0,0.0,1010.55
13,5,1.0,0.3333333333333333,0.5,2.0,0.0,0.0,0.0,1009.39
14,5,1.0,0.3076923076923077,0.5,2.1538461538461537,0.0,0.0,0.0,664.0
15,5,1.0,0.2857142857142857,0.5,2.2857142857142856,0.0,0.0,0.0,913.37
16,5,1.0,0.26666666666666666,0.5,2.4,0.0,0.0,0.0,517.57
17,5,1.0,0.25,0.5,2.5,0.0,0.0,0.0,818.65
18,5,1.0,0.23529411764705882,0.5,2.6470588235294117,0.0,0.0,0.0,469.29
19,5,1.0,0.2222222222222222,0.5,2.7777777777777777,0.0,0.0,0.0,424.18
20,5,1.0,0.21052631578947367,0.5,2.8947368421052633,0.0,0.0,0.0,126.82
21,5,1.0,0.2,0.5,3.0,0.0,0.0,0.0,729.37
22,5,1.0,0.19047619047619047,0.5,3.142857142857143,0.0,0.0,0.0,577.44
23,5,1.0,0.18181818181818182,0.5,3.272727272727273,0.0,0.0,0.0,829.96
24,5,1.0,0.17391304347826086,0.5,3.391304347826087,0.0,0.0,0.0,337.11
25,5,1.0,0.16666666666666666,0.5,3.5,0.0,0.0,0.0,193.82
26,5,1.0,0.16,0.5,3.64,0.0,0.0,0.0,97.94
27,5,1.0,0.15384615384615385,0.5,3.769230769230769,0.0,0.0,0.0,104.63
28,5,1.0,0.14814814814814814,0.5,3.888888888888889,0.0,0.0,0.0,303.54
29,5,1.0,0.14285714285714285,0.5,4.0,0.0,0.0,0.0,158.16
30,5,1.0,0.13793103448275862,0.5,4.137931034482759,0.0,0.0,0.0,209.66
31,5,1.0,0.13333333333333333,0.5,4.266666666666667,0.0,0.0,0.0,414.98
32,5,1.0,0.12903225806451613,0.5,4.387096774193548,0.0,0.0,0.0,122.92
33,5,1.0,0.125,0.5,4.5,0.0,0.0,0.0,129.18
34,5,1.0,0.12121212121212122,0.5,4.636363636363637,0.0,0.0,0.0,217.11
35,5,1.0,0.11764705882352941,0.5,4.764705882352941,0.0,0.0,0.0,80.85
36,5,1.0,0.11428571428571428,0.5,4.885714285714286,0.0,0.0,0.0,84.39
37,5,1.0,0.1111111111111111,0.5,5.0,0.0,0.0,0.0,189.97
38,5,1.0,0.10810810810810811,0.5,5.135135135135135,0.0,0.0,0.0,103.0
39,5,1.0,0.10526315789473684,0.5,5.2631578947368425,0.0,0.0,0.0,246.24
40,5,1.0,0.10256410256410256,0.5,5.384615384615385,0.0,0.0,0.0,107.63
41,5,1.0,0.1,0.5,5.5,0.0,0.0,0.0,126.78
42,5,1.0,0.0975609756097561,0.5,5.634146341463414,0.0,0.0,0.0,117.62
43,5,1.0,0.09523809523809523,0.5,5.761904761904762,0.0,0.0,0.0,180.36
44,5,1.0,0.09302325581395349,0.5,5.883720930232558,0.0,0.0,0.0,134.0
45,5,1.0,0.09090909090909091,0.5,6.0,0.0,0.0,0.0,231.74
46,5,1.0,0.08888888888888889,0.5,6.133333333333334,0.0,0.0,0.0,154.02
47,5,1.0,0.08695652173913043,0.5,6.260869565217392,0.0,0.0,0.0,138.48
48,5,1.0,0.0851063829787234,0.5,6.382978723404255,0.0,0.0,0.0,193.41
49,5,1.0,0.08333333333333333,0.5,6.5,0.0,0.0,0.0,163.55
50,5,1.0,0.08163265306122448,0.5,6.63265306122449,0.0,0.0,0.0,166.57
